Zm00001d014473	GO:0003723
Zm00001d014473	GO:0031167
Zm00001d014473	GO:0008649
Zm00001d014473	GO:0032040
Zm00001d014473	GO:1990259
Zm00001d014473	GO:1990258
Zm00001d014473	GO:0015030
Zm00001d014473	GO:0000494
Zm00001d014473	GO:0031428
Zm00001d033566	GO:0008199
Zm00001d033566	GO:0008198
Zm00001d033566	GO:0003993
Zm00001d031332	GO:0034605
Zm00001d031332	GO:0005737
Zm00001d031332	GO:0005886
Zm00001d031332	GO:0005829
Zm00001d031332	GO:0051082
Zm00001d031332	GO:0005515
Zm00001d031332	GO:0009408
Zm00001d031332	GO:0032991
Zm00001d031332	GO:0050821
Zm00001d031332	GO:0009986
Zm00001d031332	GO:0048471
Zm00001d027791	GO:0005737
Zm00001d027791	GO:0005525
Zm00001d027791	GO:0002181
Zm00001d011006	GO:0055085
Zm00001d011006	GO:0042626
Zm00001d011006	GO:0005886
Zm00001d011636	GO:0061630
Zm00001d002288	GO:0005634
Zm00001d022020	GO:0005783
Zm00001d022020	GO:0006888
Zm00001d022020	GO:0006890
Zm00001d022020	GO:0030134
Zm00001d004119	GO:0006614
Zm00001d004119	GO:0005783
Zm00001d004119	GO:0031207
Zm00001d004119	GO:0006620
Zm00001d011323	GO:0005634
Zm00001d011323	GO:0043565
Zm00001d011323	GO:0007275
Zm00001d011323	GO:0008134
Zm00001d011323	GO:0000981
Zm00001d011323	GO:0044212
Zm00001d044730	GO:0004497
Zm00001d044730	GO:0005509
Zm00001d002735	GO:0006364
Zm00001d002735	GO:0042274
Zm00001d002735	GO:0032040
Zm00001d002735	GO:0022627
Zm00001d044715	GO:0005794
Zm00001d044715	GO:0015297
Zm00001d044715	GO:0009670
Zm00001d044715	GO:0015121
Zm00001d044715	GO:0022857
Zm00001d044715	GO:0071917
Zm00001d024687	GO:0008375
Zm00001d005261	GO:0061631
Zm00001d021119	GO:0008422
Zm00001d016468	GO:0005886
Zm00001d016468	GO:0015706
Zm00001d016468	GO:0071249
Zm00001d016468	GO:0015112
Zm00001d016468	GO:0009705
Zm00001d009449	GO:0005739
Zm00001d042690	GO:0044255
Zm00001d025917	GO:0005794
Zm00001d043127	GO:0034245
Zm00001d043127	GO:0006390
Zm00001d043127	GO:0003899
Zm00001d052969	GO:0016020
Zm00001d052969	GO:0016709
Zm00001d016930	GO:0016020
Zm00001d016930	GO:0005794
Zm00001d016930	GO:0072657
Zm00001d016930	GO:0005768
Zm00001d016930	GO:0005802
Zm00001d036699	GO:0046658
Zm00001d025857	GO:0003723
Zm00001d025857	GO:0042273
Zm00001d025857	GO:0022625
Zm00001d032982	GO:0005737
Zm00001d032982	GO:0004364
Zm00001d047857	GO:0005789
Zm00001d047857	GO:0032469
Zm00001d047857	GO:0005794
Zm00001d047857	GO:0006816
Zm00001d051498	GO:0005634
Zm00001d034452	GO:0009507
Zm00001d034452	GO:0000162
Zm00001d034452	GO:0004834
Zm00001d020364	GO:0009649
Zm00001d016910	GO:0043231
Zm00001d016910	GO:0008194
Zm00001d025250	GO:0005634
Zm00001d025250	GO:0003700
Zm00001d025250	GO:0043565
Zm00001d025250	GO:0048831
Zm00001d025250	GO:2000032
Zm00001d002768	GO:0019915
Zm00001d051080	GO:0005829
Zm00001d051080	GO:0003999
Zm00001d051080	GO:0006168
Zm00001d047553	GO:0006457
Zm00001d047553	GO:0051082
Zm00001d047553	GO:0051259
Zm00001d047553	GO:0009408
Zm00001d047553	GO:0009651
Zm00001d047553	GO:0043621
Zm00001d047553	GO:0042542
Zm00001d047553	GO:0000302
Zm00001d005238	GO:0005634
Zm00001d005238	GO:0003743
Zm00001d005238	GO:0005852
Zm00001d005238	GO:0006413
Zm00001d014688	GO:1904211
Zm00001d014688	GO:0051047
Zm00001d014688	GO:0044322
Zm00001d014688	GO:0043687
Zm00001d014688	GO:0034644
Zm00001d014688	GO:0010954
Zm00001d014688	GO:0031293
Zm00001d014688	GO:0004252
Zm00001d014688	GO:0004175
Zm00001d014688	GO:0030176
Zm00001d014688	GO:0034620
Zm00001d031118	GO:0033260
Zm00001d031118	GO:0005634
Zm00001d003836	GO:0005829
Zm00001d003836	GO:0033862
Zm00001d003836	GO:0006225
Zm00001d039038	GO:0003743
Zm00001d039038	GO:0005852
Zm00001d039038	GO:0006413
Zm00001d037189	GO:0005737
Zm00001d037189	GO:0005829
Zm00001d037189	GO:0051082
Zm00001d037189	GO:0003755
Zm00001d037189	GO:0042026
Zm00001d037189	GO:0016018
