genome,dataset,SimGIC2
Oryza_sativa,GOMAP,0.253680
Oryza_sativa,Gramene61-IEA,0.330437
Zea_mays.B73.v3,GOMAP,0.052182
Zea_mays.B73.v3,Gramene49,0.091475
Zea_mays.B73.v3,Phytozome,0.028721
Zea_mays.B73.v4,GOMAP,0.050760
