#GO	IC
0000415	10.832833
0000416	10.832833
0000417	10.832833
0000418	7.999619
0000419	7.536996
0000420	7.999619
0000421	10.139686
0000422	7.837100
0000423	10.139686
0000424	7.837100
0000425	9.446538
0000426	9.446538
0000427	8.635608
0000428	5.529528
0000429	4.905907
0000430	4.905907
0000431	3.088696
0000432	4.905907
0000433	10.832833
0000434	3.088696
0000435	3.088696
0000436	4.905907
0000437	6.772390
0000438	8.753391
0000439	8.753391
0000440	8.753391
0000441	8.753391
0000442	8.753391
0000443	8.753391
0000444	10.832833
0000445	8.886923
0000446	7.741790
0000447	9.223395
0000448	10.832833
0000449	8.347926
0000450	8.347926
0000451	6.807481
0000452	6.807481
0000453	6.807481
0000454	10.139686
0000455	10.139686
0000457	8.347926
0000458	8.347926
0000459	8.434937
0000460	7.613957
0000461	10.139686
0000462	7.119261
0000463	7.942461
0000464	8.530248
0000465	8.434937
0000466	7.837100
0000467	8.434937
0000468	8.193775
0000469	7.613957
0000470	7.277485
0000471	8.530248
0000472	10.832833
0000473	7.277485
0000474	6.843849
0000475	5.234411
0000476	10.832833
0000477	7.613957
0000478	8.347926
0000479	8.530248
0000480	10.832833
0000481	9.734220
0000482	9.734220
0000483	8.347926
0000484	8.347926
0000485	8.347926
0000486	8.347926
0000487	7.613957
0000488	9.734220
0000489	9.734220
0000490	10.832833
0000491	8.886923
0000492	9.223395
0000493	10.832833
0000494	9.734220
0000495	10.832833
0000496	2.703068
0000497	3.163804
0000498	3.714816
0000499	4.667415
0000500	10.139686
0000501	3.155432
0000502	5.815553
0000503	7.221915
0000505	10.832833
0000506	9.734220
0000507	10.832833
0000508	10.832833
0000509	10.832833
0000578	8.124783
0000700	10.832833
0000701	10.832833
0000702	8.635608
0000703	10.139686
0000704	7.398845
0000705	6.123303
0000706	9.734220
0000707	10.139686
0000708	9.734220
0000709	5.335664
0000710	9.041073
0000711	8.267883
0000712	7.942461
0000713	5.980802
0000714	5.980802
0000715	4.049508
0000716	4.049508
0000717	10.832833
0000718	6.941012
0000719	9.734220
0000720	6.941012
0000721	5.212432
0000722	10.139686
0000723	6.789781
0000724	6.278956
0000725	6.198104
0000726	7.788310
0000727	8.347926
0000728	3.160075
0000729	9.446538
0000730	10.139686
0000731	8.267883
0000732	3.950395
0000733	9.734220
0000734	8.267883
0000735	10.832833
0000736	10.832833
0000737	9.446538
0000738	9.734220
0000740	10.832833
0000741	7.169271
0000742	7.169271
0000743	3.160075
0000744	7.169271
0000745	8.635608
0000746	6.658445
0000747	6.658445
0000748	6.658445
0000749	6.570153
0000750	6.570153
0000751	6.570153
0000752	5.339771
0000753	3.385081
0000754	4.390293
0000755	6.658445
0000756	3.400349
0000758	6.658445
0000759	6.658445
0000760	3.400349
0000761	6.658445
0000762	6.658445
0000765	9.734220
0000766	9.734220
0000767	4.941188
0000768	8.434937
0000769	10.832833
0000770	5.905579
0000771	5.339771
0000772	5.732966
0000773	10.832833
0000774	8.753391
0000775	6.920810
0000776	7.336325
0000777	8.267883
0000778	8.886923
0000779	7.942461
0000780	8.530248
0000781	7.431635
0000782	9.446538
0000783	9.446538
0000784	7.574736
0000785	5.628826
0000786	10.139686
0000787	10.139686
0000788	10.139686
0000789	10.832833
0000790	6.227663
0000791	8.753391
0000792	7.999619
0000793	6.881589
0000794	7.431635
0000795	9.446538
0000796	9.446538
0000797	2.550856
0000798	10.832833
0000799	9.734220
0000800	5.554718
0000801	5.554718
0000802	5.554718
0000803	4.766725
0000804	4.766725
0000805	4.766725
0000806	4.766725
0000807	4.766725
0000808	8.886923
0000809	8.886923
0000810	4.419374
0000811	9.734220
0000812	8.753391
0000813	8.886923
0000814	9.734220
0000815	8.886923
0000816	3.521614
0000817	2.550856
0000818	10.832833
0000819	6.426113
0000820	9.223395
0000821	10.832833
0000822	8.124783
0000823	9.446538
0000824	10.139686
0000825	8.530248
0000827	3.521614
0000828	8.886923
0000829	9.223395
0000830	8.886923
0000831	8.886923
0000832	8.886923
0000833	9.223395
0000834	9.223395
0000835	9.446538
0000836	9.446538
0000837	9.446538
0000838	9.446538
0000839	9.446538
0000900	10.832833
0000901	9.446538
0000902	4.941188
0000904	5.364773
0000905	3.154969
0000906	10.832833
0000907	6.628140
0000908	6.628140
0000909	5.386095
